amount,hour,transaction_count_1h,distance_from_home_km,age,merchant_category,card_type,country,is_fraud
66.61305882326451,2,5.0,7.9159721142798505,,restaurant,credit,domestic,1
32.10876577837951,5,6.0,180.53535373073902,35.0025752885096,grocery,credit,domestic,1
92.5529314741192,20,2.0,40.01930996683477,38.565886562487506,restaurant,debit,domestic,0
164.04486643275945,8,,61.47951705732958,38.728962047053564,restaurant,debit,foreign,0
165.9817032984225,5,3.0,37.76182142626759,,retail,credit,foreign,1
217.84212369747053,22,5.0,323.53610441459153,60.22961003028759,online,credit,foreign,1
98.34518006810006,2,4.0,16.24425355873781,19.52413305964348,retail,debit,domestic,1
,10,3.0,37.04702988969266,49.26162456478541,gas,credit,domestic,0
110.18590156153533,9,1.0,15.049628037871473,49.971365826211034,retail,debit,domestic,0
155.55865371828412,3,1.0,123.80444562599163,32.08424008811613,grocery,credit,foreign,1
124.25699814508674,9,2.0,180.04909080430085,49.67856640397453,online,debit,foreign,1
155.14617108629366,10,3.0,6.848025775042835,61.81801988651311,grocery,debit,domestic,0
58.88412773956479,4,4.0,59.09712149059798,27.271440727504576,online,credit,foreign,1
5.0,16,1.0,103.48382435500308,21.512792060654817,retail,,domestic,0
362.65093348236206,14,,30.720113673575188,18.0,restaurant,credit,domestic,1
1.0,5,,,53.546082565353316,online,credit,domestic,1
10.24498923162463,1,5.0,262.036782788676,44.30361813221185,grocery,credit,foreign,1
233.39341502310617,12,2.0,44.60312197465075,38.654648922453234,online,debit,foreign,1
84.7002878467923,6,1.0,20.551286547809227,40.417965994766746,online,,domestic,0
1.0,23,1.0,3.070452727517641,50.73756307069133,online,credit,domestic,1
92.64300856851976,16,4.0,8.777589684661095,43.43637347747094,gas,credit,domestic,0
160.92942397646652,16,1.0,32.396845487818325,42.063375484673095,retail,credit,domestic,0
466.5519020540371,7,2.0,16.853700227009114,,online,debit,domestic,1
72.33748426685247,3,2.0,0.9702369759624367,34.52247889402746,,credit,foreign,1
153.7701677517532,9,2.0,35.94642738048529,18.0,gas,credit,domestic,0
161.12556985951838,21,0.0,7.715013345242511,37.60219998903633,,credit,domestic,0
96.87999078365692,23,3.0,33.14200771800195,60.210499587280424,grocery,debit,foreign,1
51.61765105877208,23,2.0,94.34817441332633,33.77446319478151,restaurant,debit,domestic,1
178.28526804990372,15,,15.85009398413785,53.36646122343345,grocery,debit,domestic,0
39.60851659290255,20,3.0,7.194439742034395,46.24611208151708,retail,credit,foreign,1
121.14928147583346,13,3.0,27.409750104739004,40.527133606569485,restaurant,debit,domestic,0
152.8703930231527,13,3.0,3.7837280746580966,20.049989535496643,retail,credit,domestic,0
158.1886420693482,6,5.0,24.76778346178353,57.372797804090354,retail,credit,domestic,0
105.91525731254185,21,1.0,,30.55408556302536,restaurant,debit,domestic,0
61.293904117015614,1,2.0,146.78623771796072,35.852147700960884,online,credit,domestic,1
267.281951541378,20,2.0,22.933748866036037,65.2488149185469,grocery,debit,domestic,0
5.0,6,6.0,30.204255252027057,,gas,debit,domestic,0
